ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate
30,2082,associate's degree,82014,4.0,3.2,5
31,2145,associate's degree,59761,4.0,3.3,5
27,1979,some college,85333,3.7,3.6,3
31,2140,associate's degree,102335,4.0,3.9,6
35,2254,some college,80163,4.0,3.7,7
25,1907,some high school,31233,3.5,3.5,4
26,1941,some high school,40342,3.6,3.1,8
32,2165,high school,58038,4.0,3.5,8
32,2151,associate's degree,80653,4.0,3.5,6
33,2262,high school,45294,4.0,3.3,6
26,1855,some college,47349,3.4,3.2,7
29,2015,bachelor's degree,76369,3.9,3.4,6
31,2129,associate's degree,94567,4.0,3.7,4
30,2040,some college,58843,4.0,3.2,8
30,2052,bachelor's degree,93377,4.0,3.5,4
29,1961,associate's degree,65981,3.6,3.0,6
29,2016,master's degree,92782,3.8,3.4,7
33,2150,high school,51839,4.0,3.6,4
30,2070,bachelor's degree,72680,4.0,3.7,3
35,2258,associate's degree,57261,4.0,3.5,4
26,1786,some high school,51488,3.4,3.4,6
26,1911,high school,44994,3.6,3.3,5
31,2048,high school,71025,3.9,3.4,4
29,2161,some college,68219,4.0,3.5,6
26,1946,some college,55755,3.6,3.5,3
28,1913,some high school,35889,3.6,3.3,5
28,2011,some college,48933,3.7,3.2,7
30,2054,master's degree,91198,3.9,3.5,6
30,2114,associate's degree,90615,4.0,3.5,4
28,1916,associate's degree,128567,3.6,3.2,5
31,2191,bachelor's degree,109439,4.0,3.8,4
22,1725,some high school,55489,3.1,3.1,6
26,1833,high school,47260,3.4,3.5,4
31,2120,associate's degree,100031,4.0,4.0,3
24,1892,bachelor's degree,82177,3.4,3.2,5
29,2031,associate's degree,42971,3.8,3.3,5
27,2075,some high school,44754,3.8,3.1,8
30,1897,high school,56786,3.7,3.4,5
31,2051,master's degree,88947,4.0,3.5,5
27,1831,high school,46986,3.3,3.2,7
30,1971,master's degree,95180,3.7,3.2,5
27,1849,some high school,64434,3.3,3.1,5
32,2144,associate's degree,96731,4.0,3.6,4
27,2010,master's degree,87326,3.6,3.5,8
27,1989,some college,76431,3.5,3.2,4
34,2228,associate's degree,69965,4.0,3.5,5
27,1786,high school,55975,3.2,2.9,5
26,1856,some high school,32101,3.3,3.2,5
26,1928,high school,53099,3.4,3.0,8
25,1881,associate's degree,77187,3.4,3.5,7
31,1977,high school,59899,3.7,3.5,4
28,1958,some high school,60418,3.7,3.2,4
29,1976,some college,73923,3.7,3.6,3
29,2054,some college,69486,3.9,3.4,5
34,2300,master's degree,93406,4.0,3.9,7
27,1875,bachelor's degree,81971,3.6,3.3,4
31,2055,associate's degree,68919,4.0,3.4,4
29,1975,some college,60310,3.7,3.2,5
30,2036,some high school,31299,3.8,3.4,5
32,2162,some college,46405,4.0,3.7,8
27,1869,high school,45497,3.4,3.4,5
32,2270,master's degree,81104,4.0,3.5,4
31,2129,some college,79892,4.0,3.7,6
31,1962,high school,74568,3.8,3.1,5
27,1849,some high school,69685,3.4,3.2,5
29,1942,associate's degree,74797,3.7,3.5,8
29,2027,some college,69155,3.7,3.7,5
28,2002,associate's degree,65519,3.7,3.2,9
28,2117,bachelor's degree,62006,4.0,3.4,4
23,1782,some college,59435,3.1,3.0,4
34,2300,bachelor's degree,95504,4.0,3.6,4
30,2044,associate's degree,59369,3.8,3.3,4
25,1836,high school,57252,3.4,3.2,7
28,1962,some college,45831,3.6,3.1,5
30,2142,bachelor's degree,101277,4.0,3.6,4
28,1847,some high school,62571,3.5,3.0,5
28,1923,high school,14054,3.6,2.8,9
32,2277,some college,78890,4.0,3.5,4
30,2038,high school,42108,3.8,3.4,6
27,1897,associate's degree,60623,3.4,3.4,4
25,1864,some high school,80925,3.3,3.3,6
26,1901,high school,34387,3.4,3.4,7
23,1757,some college,88126,3.0,3.5,3
28,1934,associate's degree,49491,3.7,3.2,5
29,2069,some college,83670,3.8,3.3,4
28,1926,some high school,47189,3.7,3.1,5
35,2317,associate's degree,95940,4.0,4.0,3
27,2074,bachelor's degree,77649,3.8,3.4,7
30,2067,associate's degree,80065,4.0,3.7,4
34,2314,some college,58162,4.0,3.4,4
30,2065,bachelor's degree,88193,4.0,3.5,8
31,2218,some college,94503,4.0,3.7,4
30,2023,associate's degree,98703,3.8,3.5,4
29,1959,some high school,57393,3.8,3.7,3
22,1678,some college,77075,3.1,3.2,4
25,1906,some college,56613,3.3,3.5,3
33,2151,high school,77235,4.0,3.6,4
26,2030,some college,54025,3.6,2.9,7
28,2044,some high school,63485,3.8,3.4,8
28,2057,some high school,51185,3.8,3.4,4
29,2126,bachelor's degree,68764,4.0,3.3,4
30,2136,associate's degree,94645,4.0,3.7,4
31,2161,associate's degree,77985,4.0,3.6,4
31,2071,some high school,36428,4.0,3.3,5
29,1878,high school,46683,3.5,3.3,5
29,2045,some college,66899,3.8,3.2,6
28,1978,some college,86105,3.9,3.8,3
28,1998,high school,27509,3.8,3.5,4
34,2258,bachelor's degree,64622,4.0,3.7,4
29,2116,some college,41904,4.0,3.3,6
30,2105,some high school,39118,3.9,3.3,5
32,2174,master's degree,80256,4.0,3.3,6
29,2042,associate's degree,96664,4.0,3.9,4
29,2031,bachelor's degree,62152,3.9,3.3,4
26,1895,some college,53468,3.4,3.1,4
